Dataset,Source_Row,Column,Value,Issue
employee_attendance.csv,102,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,203,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,304,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,405,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,506,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,607,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,708,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,809,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,910,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,1011,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,1112,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,1213,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,1314,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,1415,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,1516,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,1617,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,1718,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,1819,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,1920,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,2021,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,2122,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,2223,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,2324,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,2425,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,2526,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,2627,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,2728,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,2829,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,2930,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,3031,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,3132,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,3233,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,3334,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,3435,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,3536,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,3637,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,3738,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,3839,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,3940,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,4041,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,4142,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,4243,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,4344,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,4445,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,4546,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,4647,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,4748,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,4849,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,4950,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,5051,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,5152,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,5253,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,5354,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,5455,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,5556,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,5657,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,5758,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,5859,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,5960,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,6061,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,6162,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,6263,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,6364,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,6465,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,6566,Worked_Hours,-4.0,Negative Value
employee_attendance.csv,6667,Worked_Hours,-4.0,Negative Value
